"id","name","code","section_id","division_id","subdivision_id"
1063,"1063 - Otros derivados del café.","1063",3,10,106
1071,"1071 - Elaboración y refinación de azúcar.","1071",3,10,107
1072,"1072 - Elaboración de panela.","1072",3,10,107
1081,"1081 - Elaboración de productos de panadería.","1081",3,10,108
1082,"1082 - Elaboración de cacao, chocolate y productos de confitería.","1082",3,10,108
1083,"1083 - Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares.","1083",3,10,108
1084,"1084 - Elaboración de comidas y platos preparados.","1084",3,10,108
1089,"1089 - Elaboración de otros productos alimenticios n.c.p.","1089",3,10,108
1090,"1090 - Elaboración de alimentos preparados para animales.","1090",3,10,109
1101,"1101 - Destilación, rectificación y mezcla de bebidas alcohólicas.","1101",3,11,110
1102,"1102 - Elaboración de bebidas fermentadas no destiladas.","1102",3,11,110
1103,"1103 - Producción de malta, elaboración de cervezas y otras bebidas malteadas.","1103",3,11,110
1104,"1104 - Elaboración  de  bebidas  no  alcohólicas,  producción  de  aguas  minerales  y  otras aguas embotelladas.","1104",3,11,110
1200,"1200 - Elaboración de productos de tabaco.","1200",3,12,120
1311,"1311 - Preparación e hilatura de fibras textiles.","1311",3,13,131
1312,"1312 - Tejeduría de productos textiles.","1312",3,13,131
1313,"1313 - Acabado de productos textiles.","1313",3,13,131
1391,"1391 - Fabricación de tejidos de punto y ganchillo.","1391",3,13,139
1392,"1392 - Confección de artículos con materiales textiles, excepto prendas de vestir.","1392",3,13,139
1393,"1393 - Fabricación de tapetes y alfombras para pisos.","1393",3,13,139
1394,"1394 - Fabricación de cuerdas, cordeles, cables, bramantes y redes.","1394",3,13,139
1399,"1399 - Fabricación de otros artículos textiles n.c.p.","1399",3,13,139
1410,"1410 - Confección de prendas de vestir, excepto prendas de piel.","1410",3,14,141
1420,"1420 - Fabricación de artículos de piel.","1420",3,14,142
1430,"1430 - Fabricación de artículos de punto y ganchillo.","1430",3,14,143
1511,"1511 - Curtido y recurtido de cueros; recurtido y teñido de pieles.","1511",3,15,151
1512,"1512 - Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería.","1512",3,15,151
1513,"1513 - Fabricación  de  artículos  de  viaje,  bolsos  de  mano  y  artículos  similares;  artículos de talabartería y guarnicionería elaborados en otros materiales.","1513",3,15,151
1521,"1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela.","1521",3,15,152
1522,"1522 - Fabricación de otros tipos de calzado, excepto calzado de cuero y piel.","1522",3,15,152
1523,"1523 - Fabricación de partes del calzado.","1523",3,15,152
1610,"1610 - Aserrado, acepillado e impregnación de la madera.","1610",3,16,161
1620,"1620 - Fabricación  de  hojas  de  madera  para  enchapado;  fabricación  de  tableros contrachapados,  tableros  laminados,  tableros  de  partículas  y  otros  tableros  y paneles.","1620",3,16,162
1630,"1630 - Fabricación  de  partes  y  piezas  de  madera,  de  carpintería  y  ebanistería  para  la construcción.","1630",3,16,163
1640,"1640 - Fabricación de recipientes de madera.","1640",3,16,164
1690,"1690 - Fabricación  de  otros  productos  de  madera;  fabricación  de  artículos  de  corcho, cestería y espartería.","1690",3,16,169
1701,"1701 - Fabricación de pulpas (pastas) celulósicas; papel y cartón.","1701",3,17,170
1702,"1702 - Fabricación  de  papel  y  cartón  ondulado  (corrugado);  fabricación  de  envases, empaques y de embalajes de papel y cartón.","1702",3,17,170
1709,"1709 - Fabricación de otros artículos de papel y cartón.","1709",3,17,170
1811,"1811 - Actividades de impresión.","1811",3,18,181
1812,"1812 - Actividades de servicios relacionados con la impresión.","1812",3,18,181
1820,"1820 - Producción de copias a partir de grabaciones originales.","1820",3,18,182
1910,"1910 - Fabricación de productos de hornos de coque.","1910",3,19,191
1921,"1921 - Fabricación de productos de la refinación del petróleo.","1921",3,19,192
1922,"1922 - Actividad de mezcla de combustibles.","1922",3,19,192
2011,"2011 - Fabricación de sustancias y productos químicos básicos.","2011",3,20,201
2012,"2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados.","2012",3,20,201
2013,"2013 - Fabricación de plásticos en formas primarias.","2013",3,20,201
2014,"2014 - Fabricación de caucho sintético en formas primarias.","2014",3,20,201
2021,"2021 - Fabricación de plaguicidas y otros productos químicos de uso agropecuario.","2021",3,20,202
2022,"2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas.","2022",3,20,202
2023,"2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir;  perfumes y preparados de tocador.","2023",3,20,202
2029,"2029 - Fabricación de otros productos químicos n.c.p.","2029",3,20,202
2030,"2030 - Fabricación de fibras sintéticas y artificiales.","2030",3,20,203
2100,"2100 - Fabricación  de  productos  farmacéuticos,  sustancias  químicas  medicinales  y productos botánicos de uso farmacéutico.","2100",3,21,210
2211,"2211 - Fabricación de llantas y neumáticos de caucho","2211",3,22,221
2212,"2212 - Reencauche de llantas usadas","2212",3,22,221
2219,"2219 - Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.","2219",3,22,221
2221,"2221 - Fabricación de formas básicas de plástico.","2221",3,22,222
2229,"2229 - Fabricación de artículos de plástico n.c.p.","2229",3,22,222
2310,"2310 - Fabricación de vidrio y productos de vidrio.","2310",3,23,231
2391,"2391 - Fabricación de productos refractarios.","2391",3,23,239
2392,"2392 - Fabricación de materiales de arcilla para la construcción.","2392",3,23,239
2393,"2393 - Fabricación de otros productos de cerámica y porcelana.","2393",3,23,239
2394,"2394 - Fabricación de cemento, cal y yeso.","2394",3,23,239
2395,"2395 - Fabricación de artículos de hormigón, cemento y yeso.","2395",3,23,239
2396,"2396 - Corte, tallado y acabado de la piedra.","2396",3,23,239
2399,"2399 - Fabricación de otros productos minerales no metálicos n.c.p.","2399",3,23,239
2410,"2410 - Industrias básicas de hierro y de acero.","2410",3,24,241
2421,"2421 - Industrias básicas de metales preciosos.","2421",3,24,242
2429,"2429 - Industrias básicas de otros metales no ferrosos.","2429",3,24,242
2431,"2431 - Fundición de hierro y de acero.","2431",3,24,243
2432,"2432 - Fundición de metales no ferrosos.","2432",3,24,243
2511,"2511 - Fabricación de productos metálicos para uso estructural.","2511",3,25,251
2512,"2512 - Fabricación  de  tanques,  depósitos  y  recipientes  de  metal,  excepto  los  utilizados para el envase o el transporte de mercancías.","2512",3,25,251
2513,"2513 - Fabricación  de  generadores  de  vapor,  excepto  calderas  de  agua  caliente  para calefacción central.","2513",3,25,251
2520,"2520 - Fabricación de armas y municiones.","2520",3,25,252
2591,"2591 - Forja, prensado, estampado y laminado de metal; pulvimetalurgia.","2591",3,25,259
2592,"2592 - Tratamiento y revestimiento de metales; mecanizado.","2592",3,25,259
2593,"2593 - Fabricación  de  artículos  de  cuchillería,  herramientas  de  mano  y  artículos  de ferretería.","2593",3,25,259
2599,"2599 - Fabricación de otros productos elaborados de metal n.c.p.","2599",3,25,259
2610,"2610 - Fabricación de componentes y tableros electrónicos.","2610",3,26,261
2620,"2620 - Fabricación de computadoras y de equipo periférico.","2620",3,26,262
2630,"2630 - Fabricación de equipos de comunicación.","2630",3,26,263
2640,"2640 - Fabricación de aparatos electrónicos de consumo.","2640",3,26,264
2651,"2651 - Fabricación de equipo de medición, prueba, navegación y control.","2651",3,26,265
2652,"2652 - Fabricación de relojes.","2652",3,26,265
2660,"2660 - Fabricación  de  equipo  de  irradiación  y  equipo  electrónico  de  uso  médico  y terapéutico.","2660",3,26,266
2670,"2670 - Fabricación de instrumentos ópticos y equipo fotográfico.","2670",3,26,267
2680,"2680 - Fabricación de medios magnéticos y ópticos para almacenamiento de datos.","2680",3,26,268
2711,"2711 - Fabricación de motores, generadores y transformadores eléctricos.","2711",3,27,271
2712,"2712 - Fabricación de aparatos de distribución y control de la energía eléctrica.","2712",3,27,271
2720,"2720 - Fabricación de pilas, baterías y acumuladores eléctricos.","2720",3,27,272
2731,"2731 - Fabricación de hilos y cables eléctricos y de fibra óptica.","2731",3,27,273
2732,"2732 - Fabricación de dispositivos de cableado.","2732",3,27,273
2740,"2740 - Fabricación de equipos eléctricos de iluminación.","2740",3,27,274
2750,"2750 - Fabricación de aparatos de uso doméstico.","2750",3,27,275
2790,"2790 - Fabricación de otros tipos de equipo eléctrico n.c.p.","2790",3,27,279
2811,"2811 - Fabricación de motores, turbinas, y partes para motores de combustión interna.","2811",3,28,281
2812,"2812 - Fabricación de equipos de potencia hidráulica y neumática.","2812",3,28,281
2813,"2813 - Fabricación de otras bombas, compresores, grifos y válvulas.","2813",3,28,281
2814,"2814 - Fabricación  de  cojinetes,  engranajes,  trenes  de  engranajes  y  piezas  de transmisión.","2814",3,28,281
2815,"2815 - Fabricación de hornos, hogares y quemadores industriales.","2815",3,28,281
2816,"2816 - Fabricación de equipo de elevación y manipulación.","2816",3,28,281
2817,"2817 - Fabricación  de  maquinaria  y  equipo  de  oficina  (excepto  computadoras  y  equipo periférico).","2817",3,28,281
2818,"2818 - Fabricación de herramientas manuales con motor.","2818",3,28,281
2819,"2819 - Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.","2819",3,28,281
2821,"2821 - Fabricación de maquinaria agropecuaria y forestal.","2821",3,28,282
2822,"2822 - Fabricación de máquinas formadoras de metal y de máquinas herramienta.","2822",3,28,282
2823,"2823 - Fabricación de maquinaria para la metalurgia.","2823",3,28,282
2824,"2824 - Fabricación  de  maquinaria  para  explotación  de  minas  y  canteras  y  para  obras  de construcción.","2824",3,28,282
2825,"2825 - Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco.","2825",3,28,282
2826,"2826 - Fabricación  de  maquinaria  para  la  elaboración  de  productos  textiles,  prendas  de vestir y cueros.","2826",3,28,282
2829,"2829 - Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.","2829",3,28,282
2910,"2910 - Fabricación de vehículos automotores y sus motores.","2910",3,29,291
2920,"2920 - Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques.","2920",3,29,292
2930,"2930 - Fabricación  de  partes,  piezas  (autopartes)  y  accesorios  (lujos)  para  vehículos automotores.","2930",3,29,293
3011,"3011 - Construcción de barcos y de estructuras flotantes.","3011",3,30,301
3012,"3012 - Construcción de embarcaciones de recreo y deporte.","3012",3,30,301
3020,"3020 - Fabricación de locomotoras y de material rodante para ferrocarriles.","3020",3,30,302
3030,"3030 - Fabricación de aeronaves, naves espaciales y de maquinaria conexa.","3030",3,30,303
3040,"3040 - Fabricación de vehículos militares de combate.","3040",3,30,304
3091,"3091 - Fabricación de motocicletas.","3091",3,30,309
3092,"3092 - Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad.","3092",3,30,309
3099,"3099 - Fabricación de otros tipos de equipo de transporte n.c.p.","3099",3,30,309
3110,"3110 - Fabricación de muebles.","3110",3,31,311
3120,"3120 - Fabricación de colchones y somieres.","3120",3,31,312
3210,"3210 - Fabricación de joyas, bisutería y artículos conexos.","3210",3,32,321
3220,"3220 - Fabricación de instrumentos musicales.","3220",3,32,322
3230,"3230 - Fabricación de artículos y equipo para la práctica del deporte.","3230",3,32,323
3240,"3240 - Fabricación de juegos, juguetes y rompecabezas.","3240",3,32,324
3250,"3250 - Fabricación  de  instrumentos,  aparatos  y  materiales  médicos  y  odontológicos (incluido mobiliario).","3250",3,32,325
3290,"3290 - Otras industrias manufactureras n.c.p.","3290",3,32,329
3311,"3311 - Mantenimiento y reparación especializado de productos elaborados en metal.","3311",3,33,331
3312,"3312 - Mantenimiento y reparación especializado de maquinaria y equipo.","3312",3,33,331
3313,"3313 - Mantenimiento y reparación especializado de equipo electrónico y óptico.","3313",3,33,331
3314,"3314 - Mantenimiento y reparación especializado de equipo eléctrico.","3314",3,33,331
3315,"3315 - Mantenimiento  y  reparación  especializado  de  equipo  de  transporte,  excepto  los vehículos automotores, motocicletas y bicicletas.","3315",3,33,331
3319,"3319 - Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p.","3319",3,33,331
3320,"3320 - Instalación especializada de maquinaria y equipo industrial.","3320",3,33,332
3511,"3511 - Generación de energía eléctrica.","3511",4,35,351
3512,"3512 - Transmisión de energía eléctrica.","3512",4,35,351
3513,"3513 - Distribución de energía eléctrica.","3513",4,35,351
3514,"3514 - Comercialización de energía eléctrica.","3514",4,35,351
3520,"3520 - Producción de gas; distribución de combustibles gaseosos por tuberías.","3520",4,35,352
3530,"3530 - Suministro de vapor y aire acondicionado.","3530",4,35,353
3600,"3600 - Captación, tratamiento y distribución de agua.","3600",5,36,360
3700,"3700 - Evacuación y tratamiento de aguas residuales.","3700",5,37,370
3811,"3811 - Recolección de desechos no peligrosos.","3811",5,38,381
3812,"3812 - Recolección de desechos peligrosos.","3812",5,38,381
3821,"3821 - Tratamiento y disposición de desechos no peligrosos.","3821",5,38,382
3822,"3822 - Tratamiento y disposición de desechos peligrosos.","3822",5,38,382
3830,"3830 - Recuperación de materiales.","3830",5,38,383
3900,"3900 - Actividades de saneamiento ambiental y otros servicios de gestión de desechos.","3900",5,39,390
4111,"4111 - Construcción de edificios residenciales.","4111",6,41,411
4112,"4112 - Construcción de edificios no residenciales.","4112",6,41,411
4210,"4210 - Construcción de carreteras y vías de ferrocarril.","4210",6,42,421
4220,"4220 - Construcción de proyectos de servicio público.","4220",6,42,422
4290,"4290 - Construcción de otras obras de ingeniería civil.","4290",6,42,429
4311,"4311 - Demolición.","4311",6,43,431
4312,"4312 - Preparación del terreno.","4312",6,43,431
4321,"4321 - Instalaciones eléctricas.","4321",6,43,432
4322,"4322 - Instalaciones de fontanería, calefacción y aire acondicionado.","4322",6,43,432
4329,"4329 - Otras instalaciones especializadas.","4329",6,43,432
4330,"4330 - Terminación y acabado de edificios y obras de ingeniería civil.","4330",6,43,433
4390,"4390 - Otras  actividades  especializadas  para  la  construcción  de  edificios  y  obras  de ingeniería civil.","4390",6,43,439
4511,"4511 - Comercio de vehículos automotores nuevos.","4511",7,45,451
4512,"4512 - Comercio de vehículos automotores usados.","4512",7,45,451
4520,"4520 - Mantenimiento y reparación de vehículos automotores.","4520",7,45,452
4530,"4530 - Comercio  de  partes,  piezas  (autopartes)  y  accesorios  (lujos)  para  vehículos automotores.","4530",7,45,453
4541,"4541 - Comercio de motocicletas y de sus partes, piezas y accesorios.","4541",7,45,454
4542,"4542 - Mantenimiento y reparación de motocicletas y de sus partes y piezas.","4542",7,45,454
4610,"4610 - Comercio al por mayor a cambio de una retribución o por contrata.","4610",7,46,461
4620,"4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos.","4620",7,46,462
4631,"4631 - Comercio al por mayor de productos alimenticios.","4631",7,46,463
4632,"4632 - Comercio al por mayor de bebidas y tabaco.","4632",7,46,463
4641,"4641 - Comercio  al  por  mayor  de  productos  textiles,  productos  confeccionados  para  uso doméstico.","4641",7,46,464
4642,"4642 - Comercio al por mayor de prendas de vestir.","4642",7,46,464
4643,"4643 - Comercio al por mayor de calzado.","4643",7,46,464
4644,"4644 - Comercio al por mayor de aparatos y equipo de uso doméstico.","4644",7,46,464
4645,"4645 - Comercio  al por mayor  de productos  farmacéuticos, medicinales, cosméticos  y  de tocador.","4645",7,46,464
4649,"4649 - Comercio al por mayor de otros utensilios domésticos n.c.p.","4649",7,46,464
4651,"4651 - Comercio  al  por  mayor  de  computadores,  equipo  periférico  y  programas  de informática.","4651",7,46,465
4652,"4652 - Comercio  al  por  mayor  de  equipo,  partes  y  piezas  electrónicos  y  de telecomunicaciones.","4652",7,46,465
4653,"4653 - Comercio al por mayor de maquinaria y equipo agropecuarios.","4653",7,46,465
4659,"4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.","4659",7,46,465
4661,"4661 - Comercio  al  por  mayor  de  combustibles  sólidos,  líquidos,  gaseosos  y  productos conexos.","4661",7,46,466
4662,"4662 - Comercio al por mayor de metales y productos metalíferos.","4662",7,46,466
4663,"4663 - Comercio  al  por  mayor  de  materiales  de  construcción,  artículos  de  ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción.","4663",7,46,466
4664,"4664 - Comercio  al  por  mayor  de  productos  químicos  básicos,  cauchos  y  plásticos  en formas primarias y productos químicos de uso agropecuario.","4664",7,46,466
4665,"4665 - Comercio al por mayor de desperdicios, desechos y chatarra.","4665",7,46,466
4669,"4669 - Comercio al por mayor de otros productos n.c.p.","4669",7,46,466
4690,"4690 - Comercio al por mayor no especializado.","4690",7,46,469
4711,"4711 - Comercio  al  por  menor  en  establecimientos  no  especializados  con  surtido compuesto  principalmente  por  alimentos,  bebidas  (alcohólicas  y  no  alcohólicas)  o tabaco.","4711",7,47,471
4719,"4719 - Comercio  al  por  menor  en  establecimientos  no  especializados,  con  surtido compuesto  principalmente  por  productos  diferentes  de  alimentos  (víveres  en general), bebidas (alcohólicas y no alcohólicas) y tabaco.","4719",7,47,471
4721,"4721 - Comercio  al  por  menor  de  productos  agrícolas  para  el  consumo  en establecimientos especializados.","4721",7,47,472
4722,"4722 - Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados.","4722",7,47,472
4723,"4723 - Comercio  al  por  menor  de  carnes  (incluye  aves  de  corral),  productos  cárnicos, pescados y productos de mar, en establecimientos especializados.","4723",7,47,472
4724,"4724 - Comercio  al  por  menor  de  bebidas  y  productos  del  tabaco,  en  establecimientos especializados.","4724",7,47,472
4729,"4729 - Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.","4729",7,47,472
4731,"4731 - Comercio al por menor de combustible para automotores.","4731",7,47,473
4732,"4732 - Comercio  al  por  menor  de  lubricantes  (aceites,  grasas),  aditivos  y  productos  de limpieza para vehículos automotores.","4732",7,47,473
4741,"4741 - Comercio  al  por  menor  de  computadores,  equipos  periféricos,  programas  de informática y equipos de telecomunicaciones en establecimientos especializados.","4741",7,47,474
4742,"4742 - Comercio  al  por  menor  de  equipos  y  aparatos  de  sonido  y  de  video,  en establecimientos especializados.","4742",7,47,474
4751,"4751 - Comercio al por menor de productos textiles en establecimientos especializados.","4751",7,47,475
4752,"4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados.","4752",7,47,475
4753,"4753 - Comercio al por menor de tapices, alfombras y recubrimientos para paredes y pisos en establecimientos especializados.","4753",7,47,475
4754,"4754 - Comercio al  por menor  de  electrodomésticos  y  gasodomésticos  de  uso  doméstico, muebles y equipos de iluminación en establecimientos especializados.","4754",7,47,475
4755,"4755 - Comercio  al  por  menor  de  artículos  y  utensilios  de  uso  doméstico  en establecimientos especializados.","4755",7,47,475
4759,"4759 - Comercio  al  por  menor  de  otros  artículos  domésticos  en  establecimientos especializados.","4759",7,47,475
4761,"4761 - Comercio  al  por  menor  de  libros,  periódicos,  materiales  y  artículos  de  papelería  y escritorio, en establecimientos especializados.","4761",7,47,476
4762,"4762 - Comercio al por menor de artículos deportivos, en establecimientos especializados.","4762",7,47,476
4769,"4769 - Comercio al por menor de otros artículos  culturales y de entretenimiento n.c.p. en establecimientos especializados.","4769",7,47,476
4771,"4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.","4771",7,47,477
4772,"4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.","4772",7,47,477
4773,"4773 - Comercio  al  por  menor  de  productos  farmacéuticos  y  medicinales,  cosméticos  y artículos de tocador en establecimientos especializados.","4773",7,47,477
4774,"4774 - Comercio  al  por  menor  de  otros  productos  nuevos  en  establecimientos especializados.","4774",7,47,477
4775,"4775 - Comercio al por menor de artículos de segunda mano.","4775",7,47,477
4781,"4781 - Comercio  al  por  menor  de  alimentos,  bebidas  y  tabaco,  en  puestos  de  venta móviles.","4781",7,47,478
4782,"4782 - Comercio  al  por  menor  de  productos  textiles,  prendas  de  vestir  y  calzado,  en puestos de venta móviles.","4782",7,47,478
4789,"4789 - Comercio al por menor de otros productos en puestos de venta móviles.","4789",7,47,478
4791,"4791 - Comercio al por menor realizado a través de Internet.","4791",7,47,479
4792,"4792 - Comercio al por menor realizado a través de casas de venta o por correo.","4792",7,47,479
4799,"4799 - Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados.","4799",7,47,479
4911,"4911 - Transporte férreo de pasajeros.","4911",8,49,491
4912,"4912 - Transporte férreo de carga.","4912",8,49,491
4921,"4921 - Transporte de pasajeros.","4921",8,49,492
4922,"4922 - Transporte mixto.","4922",8,49,492
4923,"4923 - Transporte de carga por carretera.","4923",8,49,492
4930,"4930 - Transporte por tuberías.","4930",8,49,493
5011,"5011 - Transporte de pasajeros marítimo y de cabotaje.","5011",8,50,501
5012,"5012 - Transporte de carga marítimo y de cabotaje.","5012",8,50,501
5021,"5021 - Transporte fluvial de pasajeros.","5021",8,50,502
5022,"5022 - Transporte fluvial de carga.","5022",8,50,502
5111,"5111 - Transporte aéreo nacional de pasajeros.","5111",8,51,511
5112,"5112 - Transporte aéreo internacional de pasajeros.","5112",8,51,511
5121,"5121 - Transporte aéreo nacional de carga.","5121",8,51,512
5122,"5122 - Transporte aéreo internacional de carga.","5122",8,51,512
5210,"5210 - Almacenamiento y depósito.","5210",8,52,521
5221,"5221 - Actividades  de  estaciones,  vías  y  servicios  complementarios  para  el  transporte terrestre.","5221",8,52,522
5222,"5222 - Actividades de puertos y servicios complementarios para el transporte acuático.","5222",8,52,522
5223,"5223 - Actividades  de  aeropuertos,  servicios  de  navegación  aérea  y  demás  actividades conexas al transporte aéreo.","5223",8,52,522
5224,"5224 - Manipulación de carga.","5224",8,52,522
5229,"5229 - Otras actividades complementarias al transporte.","5229",8,52,522
5310,"5310 - Actividades postales nacionales.","5310",8,53,531
5320,"5320 - Actividades de mensajería.","5320",8,53,532
5511,"5511 - Alojamiento en hoteles.","5511",9,55,551
5512,"5512 - Alojamiento en apartahoteles.","5512",9,55,551
5513,"5513 - Alojamiento en centros vacacionales.","5513",9,55,551
5514,"5514 - Alojamiento rural.","5514",9,55,551
5519,"5519 - Otros tipos de alojamiento para visitantes.","5519",9,55,551
5520,"5520 - Actividades de zonas de camping y parques para vehículos recreacionales.","5520",9,55,552
5530,"5530 - Servicio de estancia por horas.","5530",9,55,553
5590,"5590 - Otros tipos de alojamiento n.c.p.","5590",9,55,559
5611,"5611 - Expendio a la mesa de comidas preparadas.","5611",9,56,561
5612,"5612 - Expendio por autoservicio de comidas preparadas.","5612",9,56,561
5613,"5613 - Expendio de comidas preparadas en cafeterías.","5613",9,56,561
5619,"5619 - Otros tipos de expendio de comidas preparadas n.c.p.","5619",9,56,561
5621,"5621 - Catering para eventos.","5621",9,56,562
5629,"5629 - Actividades de otros servicios de comidas.","5629",9,56,562
5630,"5630 - Expendio de bebidas alcohólicas para el consumo dentro del establecimiento.","5630",9,56,563
5811,"5811 - Edición de libros.","5811",10,58,581
5812,"5812 - Edición de directorios y listas de correo.","5812",10,58,581
5813,"5813 - Edición de periódicos, revistas y otras publicaciones periódicas.","5813",10,58,581
5819,"5819 - Otros trabajos de edición.","5819",10,58,581
5820,"5820 - Edición de programas de informática (software).","5820",10,58,582
5911,"5911 - Actividades  de  producción  de  películas  cinematográficas,  videos,  programas, anuncios y comerciales de televisión.","5911",10,59,591
5912,"5912 - Actividades  de  postproducción  de  películas  cinematográficas,  videos,  programas, anuncios y comerciales de televisión.","5912",10,59,591
5913,"5913 - Actividades  de  distribución  de  películas  cinematográficas,  videos,  programas, anuncios y comerciales de televisión.","5913",10,59,591
5914,"5914 - Actividades de exhibición de películas cinematográficas y videos.","5914",10,59,591
